clustered_label,0
310,"[[0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]]"
310,"[['1.0' '2.0' '1.0' '1.0' '121']
 ['1.0' '1.0' '1.0' '2.0' '111']
 ['4.0' '2.0' '1.0' '2.0' '421']
 ['3.0' '2.0' '1.0' '1.0' '321']
 ['1.0' '2.0' '1.0' '1.0' '121']
 ['1.0' '1.0' '1.0' '1.0' '111']
 ['1.0' '1.0' '1.0' '4.0' '111']
 ['7.0' '3.0' '2.0' '4.0' '732']
 ['5.0' '3.0' '2.0' '4.0' '532']
 ['5.0' '3.0' '2.0' '2.0' '532']]"
310,
310,
310,
310,
250,
250,
250,
310,
