clustered_label,0
310,"[[0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]]"
310,"[['2.0' '3.0' '1.0' '1.0' '231']
 ['2.0' '2.0' '1.0' '2.0' '221']
 ['5.0' '3.0' '2.0' '2.0' '532']
 ['5.0' '3.0' '2.0' '2.0' '532']
 ['3.0' '2.0' '1.0' '1.0' '321']
 ['2.0' '2.0' '1.0' '1.0' '221']
 ['2.0' '2.0' '1.0' '5.0' '221']
 ['11.0' '2.0' '2.0' '9.0' '1122']
 ['8.0' '2.0' '4.0' '7.0' '824']
 ['8.0' '2.0' '4.0' '3.0' '824']]"
310,
310,
310,
310,
250,
250,
250,
310,
