clustered_label,0
310,"[[0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]]"
310,"[['2.0', '1.0', '1.0', '1.0', '012'], ['1.0', '1.0', '0.0', '14.0', '012'], ['5.0', '0.0', '2.0', '15.0', '012'], ['4.0', '0.0', '3.0', '3.0', '012'], ['2.0', '2.0', '1.0', '1.0', '012'], ['1.0', '1.0', '1.0', '1.0', '012'], ['1.0', '1.0', '1.0', '12.0', '012'], ['10.0', '4.0', '1.0', '10.0', '012'], ['9.0', '6.0', '1.0', '10.0', '012'], ['8.0', '7.0', '2.0', '9.0', '012']]"
310,
310,
310,
310,
250,
250,
250,
310,
