clustered_label,0
310,"[[0 0 0 0]
 [0 0 0 0]
 [1 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [1 0 0 0]
 [1 0 0 0]
 [0 0 0 0]]"
310,"[['1.0' '2.0' '1.0' '1.0' '121']
 ['1.0' '1.0' '1.0' '3.0' '111']
 ['6.0' '3.0' '2.0' '3.0' '632']
 ['5.0' '3.0' '2.0' '2.0' '532']
 ['2.0' '2.0' '1.0' '1.0' '221']
 ['2.0' '1.0' '1.0' '1.0' '211']
 ['1.0' '1.0' '1.0' '3.0' '111']
 ['6.0' '3.0' '3.0' '3.0' '633']
 ['6.0' '3.0' '3.0' '4.0' '633']
 ['5.0' '3.0' '3.0' '4.0' '533']]"
310,
310,
310,
310,
250,
250,
250,
310,
