clustered_label,0
310,"[[0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]]"
310,"[['2.0' '4.0' '1.0' '1.0' '241']
 ['3.0' '2.0' '1.0' '4.0' '321']
 ['10.0' '2.0' '2.0' '8.0' '1022']
 ['8.0' '2.0' '4.0' '2.0' '824']
 ['3.0' '4.0' '2.0' '1.0' '342']
 ['3.0' '2.0' '1.0' '1.0' '321']
 ['2.0' '2.0' '1.0' '15.0' '221']
 ['15.0' '5.0' '4.0' '12.0' '1554']
 ['13.0' '6.0' '3.0' '12.0' '1363']
 ['13.0' '6.0' '3.0' '7.0' '1363']]"
310,
310,
310,
310,
250,
250,
250,
310,
