clustered_label,0
310,"[[0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]]"
310,"[['2.0' '4.0' '1.0' '1.0' '241']
 ['3.0' '3.0' '2.0' '13.0' '332']
 ['14.0' '5.0' '4.0' '12.0' '1454']
 ['12.0' '6.0' '3.0' '3.0' '1263']
 ['3.0' '4.0' '2.0' '2.0' '342']
 ['3.0' '3.0' '2.0' '2.0' '332']
 ['2.0' '2.0' '2.0' '7.0' '222']
 ['9.0' '5.0' '8.0' '7.0' '958']
 ['9.0' '6.0' '9.0' '7.0' '969']
 ['8.0' '6.0' '9.0' '12.0' '869']]"
310,
310,
310,
310,
250,
250,
250,
310,
