clustered_label,0
310,"[[0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]]"
310,"[['0.0' '1.0' '1.0' '0.0' '0.01.01.0']
 ['0.0' '1.0' '1.0' '0.0' '0.01.01.0']
 ['1.0' '1.0' '1.0' '0.0' '1.01.01.0']
 ['1.0' '1.0' '1.0' '0.0' '1.01.01.0']
 ['0.0' '1.0' '0.0' '0.0' '0.01.00.0']
 ['0.0' '1.0' '1.0' '0.0' '0.01.01.0']
 ['0.0' '1.0' '1.0' '1.0' '0.01.01.0']
 ['8.0' '4.0' '1.0' '1.0' '8.04.01.0']
 ['7.0' '3.0' '0.0' '1.0' '7.03.00.0']
 ['7.0' '3.0' '1.0' '2.0' '7.03.01.0']]"
310,
310,
310,
310,
250,
250,
250,
310,
