clustered_label,0
310,"[[0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]]"
310,"[['1.0', '1.0', '1.0', '0.0', '012'], ['0.0', '1.0', '1.0', '3.0', '012'], ['2.0', '1.0', '1.0', '2.0', '012'], ['1.0', '1.0', '1.0', '1.0', '012'], ['0.0', '1.0', '1.0', '1.0', '012'], ['1.0', '1.0', '1.0', '1.0', '012'], ['1.0', '1.0', '1.0', '3.0', '012'], ['1.0', '1.0', '2.0', '3.0', '012'], ['1.0', '1.0', '2.0', '3.0', '012'], ['1.0', '1.0', '2.0', '3.0', '012']]"
310,
310,
310,
310,
250,
250,
250,
310,
