clustered_label,0
310,"[[0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]]"
310,"[['0.0' '1.0' '0.0' '0.0' '0.01.00.0']
 ['0.0' '0.0' '0.0' '1.0' '0.00.00.0']
 ['0.0' '1.0' '0.0' '1.0' '0.01.00.0']
 ['0.0' '1.0' '0.0' '0.0' '0.01.00.0']
 ['0.0' '0.0' '0.0' '0.0' '0.00.00.0']
 ['0.0' '0.0' '0.0' '0.0' '0.00.00.0']
 ['0.0' '0.0' '0.0' '0.0' '0.00.00.0']
 ['1.0' '1.0' '1.0' '0.0' '1.01.01.0']
 ['1.0' '1.0' '1.0' '0.0' '1.01.01.0']
 ['1.0' '1.0' '1.0' '0.0' '1.01.01.0']]"
310,
310,
310,
310,
250,
250,
250,
310,
