clustered_label,0
310,"[[0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]]"
310,"[['2.0', '1.0', '0.0', '0.0', '012'], ['1.0', '1.0', '1.0', '8.0', '012'], ['12.0', '9.0', '3.0', '2.0', '012'], ['7.0', '11.0', '5.0', '0.0', '012'], ['2.0', '5.0', '3.0', '1.0', '012'], ['1.0', '1.0', '1.0', '1.0', '012'], ['1.0', '1.0', '0.0', '14.0', '012'], ['5.0', '1.0', '2.0', '14.0', '012'], ['5.0', '1.0', '3.0', '15.0', '012'], ['4.0', '1.0', '4.0', '9.0', '012']]"
310,
310,
310,
310,
250,
250,
250,
310,
